Experiment	Description	SRRs	Sense_Coverage_Cutoff	Gene_Length_Cutoff	Residual_Cutoff	wB_Cutoff	wB_a_Cutoff	Coverage_Antisense_Cutoff	Normalized_Complexity_Cutoff	Sense_Coverage_Cutoff_Adj
Meta-Birkenheuer2018herpes	Meta-samples (including HSV-1 infected) of PRO-seq data in Birkenheuer et al. 2018 (HEp2-Specific)	SRR6216708 SRR6216709 SRR6216710 SRR6216711 SRR6216712 SRR6216713	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Steinparzer2019transcriptional	PRO-seq samples from Steinparzer et al. 2019	SRR8867628 SRR8867629 SRR8867622 SRR8867623 SRR7824015 SRR7824016	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Meta-Steinparzer2019transcriptional	Meta PRO-seq samples from Steinparzer et al. 2019	SRR8867628 SRR8867629 SRR8867622 SRR8867623 SRR7824015 SRR7824016	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
HEK293T-HEK293-Specific	Meta-sample of all high quality control PRO-seq samples in HEK293 & HEK293T cells from DBNascent (Sigauke et al. 2025)	SRR6026781 SRR6026782 SRR6927839 SRR7988488 SRR7988490	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
HEK293T-HEK293-SRRs	All high quality control PRO-seq samples in HEK293 & HEK293T cells from DBNascent (Sigauke et al. 2025)	SRR6026781 SRR6026782 SRR6927839 SRR7988488 SRR7988490	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
HeLa-Specific	Meta-sample of all high quality control PRO-seq samples in HeLa cells from DBNascent (Sigauke et al. 2025)	SRR5799635 SRR8478992 SRR8478993 SRR8478996 SRR8478997	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
HeLa-SRRs	All high quality control PRO-seq samples in HeLa cells from DBNascent (Sigauke et al. 2025)	SRR5799635 SRR8478992 SRR8478993 SRR8478996 SRR8478997	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
IFNa2-Daniel	Samples (including IFN-a2 treated) of PRO-seq data in Ramirez et al. 2023	SRR21728542 SRR21728543 SRR21728544 SRR21728545	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Meta-Daniel-IFN	Human PRO-seq LCL meta-samples IFN-b from manuscript	GSM6716757 GSM6716758 GSM6716769 GSM6716770	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Daniel-IFN	Human PRO-seq LCL samples IFN-b from manuscript	GSM6716757 GSM6716758 GSM6716769 GSM6716770	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Meta-IFNa2-Daniel	Meta-samples of PRO-seq data in Ramirez et al. 2023 (LCL)	SRR21728542 SRR21728543 SRR21728544 SRR21728545	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
BSA-nomLeu3	Gibbon monkey PRO-seq samples from manuscript	GSM6716755 GSM6716756	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
BSA-saiBol1	Squirrel monkey PRO-seq samples from manuscript	GSM6716761 GSM6716762	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
BSA-rheMac10	Rhesus PRO-seq samples from manuscript (mapped to rheMac10 genome)	GSM6716759 GSM6716760	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
BSA-hg38	Human PRO-seq samples from manuscript	GSM6716757 GSM6716758 	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
BSA-rheMac8	Rhesus PRO-seq samples from manuscript (mapped to rheMac8 genome)	GSM6716759 GSM6716760	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Meta-BSA-nomLeu3	Gibbon monkey meta PRO-seq samples from manuscript	GSM6716755 GSM6716756	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Meta-BSA-saiBol1	Squirrel monkey PRO-seq meta-samples from manuscript	GSM6716761 GSM6716762	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Meta-BSA-rheMac10	Rhesus PRO-seq meta-samples from manuscript (mapped to rheMac10 genome)	GSM6716759 GSM6716760	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Meta-BSA-hg38	Human PRO-seq meta-samples from manuscript	GSM6716757 GSM6716758 	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Etchegaray2019histone	Mouse PRO-seq samples from Etchegaray et al. 2019	SRR9007616	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
