Experiment	Samples	Sample_Count	Colors	Sense_Coverage_Cutoff	Gene_Length_Cutoff	Annotation	Residual_Cutoff	wB_Cutoff	wB_a_Cutoff	Coverage_Antisense_Cutoff	Names	Normalized_Complexity_Cutoff	Sense_Coverage_Cutoff_Adj
LCL-Specfic	LCL-Specfic_meta_lymphoblast	1	#eaac1b	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/LCL-Specfic/LCL-Specfic-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_lymphoblast	0.001	0.001
Meta-OV90-CDK7i	Meta-OV90-CDK7i_meta_DMSO_0,Meta-OV90-CDK7i_meta_SY_0	2	#dededd,#6cf3e2	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Meta-OV90-CDK7i/Meta-OV90-CDK7i-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_DMSO_0,meta_SY_0	0.001	0.001
HCT-Specific	HCT-Specific_meta_HCT116	1	#eabf81	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/HCT-Specific/HCT-Specific-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_HCT116	0.001	0.001
LCL-SRRs	LCL-SRRs_SRR6727956,LCL-SRRs_SRR6727955,LCL-SRRs_SRR6727959,LCL-SRRs_SRR6727949,LCL-SRRs_SRR6727951,LCL-SRRs_SRR6727945,LCL-SRRs_SRR6727954,LCL-SRRs_SRR6727952,LCL-SRRs_SRR6727948,LCL-SRRs_SRR6727944,LCL-SRRs_SRR6727942,LCL-SRRs_SRR6727947,LCL-SRRs_SRR6727953,LCL-SRRs_SRR6727957,LCL-SRRs_SRR6727941,LCL-SRRs_SRR6727946,LCL-SRRs_SRR6727950,LCL-SRRs_SRR6727958,LCL-SRRs_SRR6727943	19	#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/LCL-SRRs/LCL-SRRs-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRR6727956,SRR6727955,SRR6727959,SRR6727949,SRR6727951,SRR6727945,SRR6727954,SRR6727952,SRR6727948,SRR6727944,SRR6727942,SRR6727947,SRR6727953,SRR6727957,SRR6727941,SRR6727946,SRR6727950,SRR6727958,SRR6727943	0.001	0.001
KBM7-SRRs	KBM7-SRRs_SRZ10354608,KBM7-SRRs_SRR10354625,KBM7-SRRs_SRZ10354610,KBM7-SRRs_SRR10354624	4	#ea891b,#ea891b,#ea891b,#ea891b	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/KBM7-SRRs/KBM7-SRRs-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRZ10354608,SRR10354625,SRZ10354610,SRR10354624	0.001	0.001
K562-Specific	K562-Specific_meta_K562	1	#fe912b	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/K562-Specific/K562-Specific-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_K562	0.001	0.001
U2OS-SRRs	U2OS-SRRs_Nina1_rpi27_b1_U2OS_wt_S1_R1_001,U2OS-SRRs_Nina5_rpi35_b2_U2OS_wt_S5_R1_001	2	#f09458,#f09458	0.0075	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/U2OS-SRRs/U2OS-SRRs-3p-UTR.liet.ann	13	0.5	0.7	0.005	Nina1_rpi27_b1_U2OS_wt_S1_R1_001,Nina5_rpi35_b2_U2OS_wt_S5_R1_001	0.001	0.0075
KBM7-Specific	KBM7-Specific_meta_KBM7	1	#ea891b	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/KBM7-Specific/KBM7-Specific-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_KBM7	0.001	0.001
K562-SRRs	K562-SRRs_SRZ1554311,K562-SRRs_SRR8669162,K562-SRRs_SRR8669163,K562-SRRs_SRR4454568,K562-SRRs_SRR11793826,K562-SRRs_SRR11793825,K562-SRRs_SRR12083664,K562-SRRs_SRR8137173,K562-SRRs_SRR5364304,K562-SRRs_SRR5364303,K562-SRRs_SRR12083665,K562-SRRs_SRR4454567	12	#fe912b,#fe912b,#fe912b,#fe912b,#fe912b,#fe912b,#fe912b,#fe912b,#fe912b,#fe912b,#fe912b,#fe912b	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/K562-SRRs/K562-SRRs-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRZ1554311,SRR8669162,SRR8669163,SRR4454568,SRR11793826,SRR11793825,SRR12083664,SRR8137173,SRR5364304,SRR5364303,SRR12083665,SRR4454567	0.001	0.001
HEp2-Specific	HEp2-Specific_meta_HEp2	1	#d2b890	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/HEp2-Specific/HEp2-Specific-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_HEp2	0.001	0.001
HEp2-SRRs	HEp2-SRRs_SRR6216711,HEp2-SRRs_SRR6216712,HEp2-SRRs_SRR6216713	3	#d2b890,#d2b890,#d2b890	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/HEp2-SRRs/HEp2-SRRs-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRR6216711,SRR6216712,SRR6216713	0.001	0.001
Birkenheuer2018herpes	Birkenheuer2018herpes_SRR6216711,Birkenheuer2018herpes_SRR6216712,Birkenheuer2018herpes_SRR6216713,Birkenheuer2018herpes_SRR6216708,Birkenheuer2018herpes_SRR6216709,Birkenheuer2018herpes_SRR6216710	6	#cbc5bd,#cbc5bd,#cbc5bd,#b9e1b0,#b9e1b0,#b9e1b0	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Birkenheuer2018herpes/Birkenheuer2018herpes-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRR6216711,SRR6216712,SRR6216713,SRR6216708,SRR6216709,SRR6216710	0.001	0.001
Meta-Birkenheuer2018herpes	Meta-Birkenheuer2018herpes_meta_mock-HSV-1,Meta-Birkenheuer2018herpes_meta_HSV-1	2	#cbc5bd,#b9e1b0	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Meta-Birkenheuer2018herpes/Meta-Birkenheuer2018herpes-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_mock-HSV-1,meta_HSV-1	0.001	0.001
Steinparzer2019transcriptional	Steinparzer2019transcriptional_SRR8867628,Steinparzer2019transcriptional_SRR8867629,Steinparzer2019transcriptional_SRR8867632,Steinparzer2019transcriptional_SRR8867633,Steinparzer2019transcriptional_SRR8867630,Steinparzer2019transcriptional_SRR8867631,Steinparzer2019transcriptional_SRR8867634,Steinparzer2019transcriptional_SRR8867635,Steinparzer2019transcriptional_SRR8867636,Steinparzer2019transcriptional_SRR8867637,Steinparzer2019transcriptional_SRR8867624,Steinparzer2019transcriptional_SRR8867625,Steinparzer2019transcriptional_SRR8867622,Steinparzer2019transcriptional_SRR8867623,Steinparzer2019transcriptional_SRR8867626,Steinparzer2019transcriptional_SRR8867627	16	#bbcddd,#bbcddd,#bbcddd,#bbcddd,#bbcddd,#bbcddd,#bbcddd,#bbcddd,#f0beb3,#f0beb3,#f0beb3,#f0beb3,#f0beb3,#f0beb3,#f0beb3,#f0beb3	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Steinparzer2019transcriptional/Steinparzer2019transcriptional-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRR8867628,SRR8867629,SRR8867632,SRR8867633,SRR8867630,SRR8867631,SRR8867634,SRR8867635,SRR8867636,SRR8867637,SRR8867624,SRR8867625,SRR8867622,SRR8867623,SRR8867626,SRR8867627	0.001	0.001
Meta-Steinparzer2019transcriptional	Meta-Steinparzer2019transcriptional_meta_WT_PBS_DMSO,Meta-Steinparzer2019transcriptional_meta_WT_IFNg_DMSO,Meta-Steinparzer2019transcriptional_meta_WT_3MB-PP1_PBS,Meta-Steinparzer2019transcriptional_meta_WT_3MB-PP1_IFNg,Meta-Steinparzer2019transcriptional_meta_CDK8AS_AS_PBS_DMSO,Meta-Steinparzer2019transcriptional_meta_CDK8AS_AS_IFNg_DMSO,Meta-Steinparzer2019transcriptional_meta_CDK8AS_AS_3MB-PP1_PBS,Meta-Steinparzer2019transcriptional_meta_CDK8AS_AS_3MB-PP1_IFNg	8	#bbcddd,#bbcddd,#bbcddd,#bbcddd,#f0beb3,#f0beb3,#f0beb3,#f0beb3	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Meta-Steinparzer2019transcriptional/Meta-Steinparzer2019transcriptional-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_WT_PBS_DMSO,meta_WT_IFNg_DMSO,meta_WT_3MB-PP1_PBS,meta_WT_3MB-PP1_IFNg,meta_CDK8AS_AS_PBS_DMSO,meta_CDK8AS_AS_IFNg_DMSO,meta_CDK8AS_AS_3MB-PP1_PBS,meta_CDK8AS_AS_3MB-PP1_IFNg	0.001	0.001
HEK293T-HEK293-Specific	HEK293T-HEK293-Specific_meta_HEK293T-HEK293	1	#ee8d71	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/HEK293T-HEK293-Specific/HEK293T-HEK293-Specific-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_HEK293T-HEK293	0.001	0.001
HEK293T-HEK293-SRRs	HEK293T-HEK293-SRRs_SRR6026781,HEK293T-HEK293-SRRs_SRR6026782,HEK293T-HEK293-SRRs_SRR6927839,HEK293T-HEK293-SRRs_SRR7988488,HEK293T-HEK293-SRRs_SRR7988490	5	#ee8d71,#ee8d71,#ee8d71,#ee8d71,#ee8d71	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/HEK293T-HEK293-SRRs/HEK293T-HEK293-SRRs-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRR6026781,SRR6026782,SRR6927839,SRR7988488,SRR7988490	0.001	0.001
HeLa-Specific	HeLa-Specific_meta_HeLa	1	#e9c170	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/HeLa-Specific/HeLa-Specific-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_HeLa	0.001	0.001
HeLa-SRRs	HeLa-SRRs_SRR8478992,HeLa-SRRs_SRR8478993,HeLa-SRRs_SRR8478996,HeLa-SRRs_SRR8478997	4	#e9c170,#e9c170,#e9c170,#e9c170	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/HeLa-SRRs/HeLa-SRRs-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRR8478992,SRR8478993,SRR8478996,SRR8478997	0.001	0.001
IFNa2-Daniel	IFNa2-Daniel_PRO-BSA-Sengbe,IFNa2-Daniel_PRO-BSA-Ursula,IFNa2-Daniel_PRO-hsIFN-Sengbe,IFNa2-Daniel_PRO-hsIFN-Ursula	1	#e9c170,#e9c170	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/IFNa2-Daniel/IFNa2-Daniel-3p-UTR.liet.ann	13	0.5	0.7	0.005	PRO-BSA-Sengbe,PRO-BSA-Ursula,PRO-hsIFN-Sengbe,PRO-hsIFN-Ursula	0.001	0.001
Meta-Daniel-IFN	Meta-Daniel-IFN_meta_PRO-BSA-Human,Meta-Daniel-IFN_meta_PRO-IFN-Human	4	#e9c170,#e9c170	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Meta-Daniel-IFN/Meta-Daniel-IFN-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_PRO-BSA-Human,meta_PRO-IFN-Human	0.001	0.001
Daniel-IFN	Daniel-IFN_PRO-BSA-Human-1,Daniel-IFN_PRO-BSA-Human-2,Daniel-IFN_PRO-IFN-Human-1,Daniel-IFN_PRO-IFN-Human-2	4	#e9c170,#e9c170,#e9c170,#e9c170	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Daniel-IFN/Daniel-IFN-3p-UTR.liet.ann	13	0.5	0.7	0.005	PRO-BSA-Human-1,PRO-BSA-Human-2,PRO-IFN-Human-1,PRO-IFN-Human-2	0.001	0.001
Meta-IFNa2-Daniel	Meta-IFNa2-Daniel_meta_PRO-BSA-IFNa,Meta-IFNa2-Daniel_meta_PRO-hsIFNa	1	#e9c170,#e9c170	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Meta-IFNa2-Daniel/Meta-IFNa2-Daniel-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_PRO-BSA-IFNa,meta_PRO-hsIFNa	0.001	0.001
